case_id,genes,expected_keywords,method,match_mode,top1_hit,top3_hit,top5_hit,top1_pathway,top3_pathways,top5_pathways,mean_top5_specificity
HRR_repair,BRCA2;PALB2;CHEK2,dna repair;dna double-strand break repair;homologous recombination;hrr;homology directed repair,GraphRAG-Gene full,strict,1,1,1,DNA Double-Strand Break Repair,DNA Double-Strand Break Repair | DNA Repair | Defective HDR through Homologous Recombination Repair (HRR) due to PALB2 loss of BRCA1 binding function,DNA Double-Strand Break Repair | DNA Repair | Defective HDR through Homologous Recombination Repair (HRR) due to PALB2 loss of BRCA1 binding function | Defective HDR through Homologous Recombination Repair (HRR) due to PALB2 loss of BRCA2/RAD51/RAD51C binding function | Defective homologous recombination repair (HRR) due to BRCA1 loss of function,1.0
DNA_damage_checkpoint,ATM;ATR;CHEK1,dna damage checkpoint;cell cycle checkpoints;g1/s dna damage checkpoints;g2/m dna damage checkpoint,Overlap count only,strict,0,1,1,Cell Cycle,Cell Cycle | Cell Cycle Checkpoints | DNA Double-Strand Break Repair,Cell Cycle | Cell Cycle Checkpoints | DNA Double-Strand Break Repair | DNA Repair | G2/M Checkpoints,1.0
Apoptosis,CASP3;CASP8;BAX,apoptosis;programmed cell death;caspase,GraphRAG-Gene full,strict,1,1,1,Apoptosis,Apoptosis | Intrinsic Pathway for Apoptosis | Programmed Cell Death,Apoptosis | Intrinsic Pathway for Apoptosis | Programmed Cell Death | Regulated Necrosis | Signal Transduction,0.97
Apoptosis,CASP3;CASP8;BAX,apoptosis;programmed cell death;caspase,No direct-relation bonus,strict,1,1,1,Apoptosis,Apoptosis | Intrinsic Pathway for Apoptosis | Programmed Cell Death,Apoptosis | Intrinsic Pathway for Apoptosis | Programmed Cell Death | Regulated Necrosis | Signal Transduction,0.97
Apoptosis,CASP3;CASP8;BAX,apoptosis;programmed cell death;caspase,No specificity weighting,strict,1,1,1,Apoptosis,Apoptosis | Intrinsic Pathway for Apoptosis | Programmed Cell Death,Apoptosis | Intrinsic Pathway for Apoptosis | Programmed Cell Death | Regulated Necrosis | Signal Transduction,0.97
Apoptosis,CASP3;CASP8;BAX,apoptosis;programmed cell death;caspase,Overlap count only,strict,1,1,1,Apoptosis,Apoptosis | Intrinsic Pathway for Apoptosis | Programmed Cell Death,Apoptosis | Intrinsic Pathway for Apoptosis | Programmed Cell Death | Regulated Necrosis | Signal Transduction,0.97
WNT_signaling,APC;CTNNB1;AXIN1,wnt;beta-catenin;tcf,GraphRAG-Gene full,strict,1,1,1,Beta-catenin phosphorylation cascade,Beta-catenin phosphorylation cascade | CTNNB1 S33 mutants aren't phosphorylated | CTNNB1 S37 mutants aren't phosphorylated,Beta-catenin phosphorylation cascade | CTNNB1 S33 mutants aren't phosphorylated | CTNNB1 S37 mutants aren't phosphorylated | CTNNB1 S45 mutants aren't phosphorylated | CTNNB1 T41 mutants aren't phosphorylated,1.0
WNT_signaling,APC;CTNNB1;AXIN1,wnt;beta-catenin;tcf,No direct-relation bonus,strict,1,1,1,Beta-catenin phosphorylation cascade,Beta-catenin phosphorylation cascade | CTNNB1 S33 mutants aren't phosphorylated | CTNNB1 S37 mutants aren't phosphorylated,Beta-catenin phosphorylation cascade | CTNNB1 S33 mutants aren't phosphorylated | CTNNB1 S37 mutants aren't phosphorylated | CTNNB1 S45 mutants aren't phosphorylated | CTNNB1 T41 mutants aren't phosphorylated,1.0
WNT_signaling,APC;CTNNB1;AXIN1,wnt;beta-catenin;tcf,No specificity weighting,strict,1,1,1,Beta-catenin phosphorylation cascade,Beta-catenin phosphorylation cascade | CTNNB1 S33 mutants aren't phosphorylated | CTNNB1 S37 mutants aren't phosphorylated,Beta-catenin phosphorylation cascade | CTNNB1 S33 mutants aren't phosphorylated | CTNNB1 S37 mutants aren't phosphorylated | CTNNB1 S45 mutants aren't phosphorylated | CTNNB1 T41 mutants aren't phosphorylated,1.0
WNT_signaling,APC;CTNNB1;AXIN1,wnt;beta-catenin;tcf,Overlap count only,strict,1,1,1,Beta-catenin phosphorylation cascade,Beta-catenin phosphorylation cascade | CTNNB1 S33 mutants aren't phosphorylated | CTNNB1 S37 mutants aren't phosphorylated,Beta-catenin phosphorylation cascade | CTNNB1 S33 mutants aren't phosphorylated | CTNNB1 S37 mutants aren't phosphorylated | CTNNB1 S45 mutants aren't phosphorylated | CTNNB1 T41 mutants aren't phosphorylated,1.0
MAPK_signaling,KRAS;BRAF;MAPK1,mapk;raf;erk;ras,GraphRAG-Gene full,strict,1,1,1,MAP2K and MAPK activation,MAP2K and MAPK activation | MAPK family signaling cascades | MAPK1/MAPK3 signaling,MAP2K and MAPK activation | MAPK family signaling cascades | MAPK1/MAPK3 signaling | Negative regulation of MAPK pathway | Oncogenic MAPK signaling,1.0
MAPK_signaling,KRAS;BRAF;MAPK1,mapk;raf;erk;ras,No direct-relation bonus,strict,1,1,1,MAP2K and MAPK activation,MAP2K and MAPK activation | MAPK family signaling cascades | MAPK1/MAPK3 signaling,MAP2K and MAPK activation | MAPK family signaling cascades | MAPK1/MAPK3 signaling | Negative regulation of MAPK pathway | Oncogenic MAPK signaling,1.0
MAPK_signaling,KRAS;BRAF;MAPK1,mapk;raf;erk;ras,No specificity weighting,strict,0,1,1,Disease,Disease | Diseases of signal transduction by growth factor receptors and second messengers | MAP2K and MAPK activation,Disease | Diseases of signal transduction by growth factor receptors and second messengers | MAP2K and MAPK activation | MAPK family signaling cascades | MAPK1/MAPK3 signaling,0.88
MAPK_signaling,KRAS;BRAF;MAPK1,mapk;raf;erk;ras,Overlap count only,strict,0,1,1,Disease,Disease | Diseases of signal transduction by growth factor receptors and second messengers | MAP2K and MAPK activation,Disease | Diseases of signal transduction by growth factor receptors and second messengers | MAP2K and MAPK activation | MAPK family signaling cascades | MAPK1/MAPK3 signaling,0.88
PI3K_AKT,PIK3CA;AKT1;PTEN,pi3k;akt;pten;phosphatidylinositol,GraphRAG-Gene full,strict,0,0,1,Adaptive Immune System,Adaptive Immune System | Immune System | Intracellular signaling by second messengers,Adaptive Immune System | Immune System | Intracellular signaling by second messengers | Negative regulation of the PI3K/AKT network | PI3K/AKT Signaling in Cancer,1.0
PI3K_AKT,PIK3CA;AKT1;PTEN,pi3k;akt;pten;phosphatidylinositol,No direct-relation bonus,strict,0,0,1,Adaptive Immune System,Adaptive Immune System | Immune System | Intracellular signaling by second messengers,Adaptive Immune System | Immune System | Intracellular signaling by second messengers | Negative regulation of the PI3K/AKT network | PI3K/AKT Signaling in Cancer,1.0
PI3K_AKT,PIK3CA;AKT1;PTEN,pi3k;akt;pten;phosphatidylinositol,No specificity weighting,strict,0,0,0,Adaptive Immune System,Adaptive Immune System | Disease | Diseases of signal transduction by growth factor receptors and second messengers,Adaptive Immune System | Disease | Diseases of signal transduction by growth factor receptors and second messengers | Immune System | Intracellular signaling by second messengers,0.88
PI3K_AKT,PIK3CA;AKT1;PTEN,pi3k;akt;pten;phosphatidylinositol,Overlap count only,strict,0,0,0,Adaptive Immune System,Adaptive Immune System | Disease | Diseases of signal transduction by growth factor receptors and second messengers,Adaptive Immune System | Disease | Diseases of signal transduction by growth factor receptors and second messengers | Immune System | Intracellular signaling by second messengers,0.88
TGF_beta,SMAD2;SMAD3;TGFB1,tgf;smad;transforming growth factor,GraphRAG-Gene full,strict,0,1,1,Deubiquitination,Deubiquitination | Downregulation of TGF-beta receptor signaling | Loss of Function of SMAD2/3 in Cancer,Deubiquitination | Downregulation of TGF-beta receptor signaling | Loss of Function of SMAD2/3 in Cancer | Loss of Function of TGFBR1 in Cancer | Post-translational protein modification,1.0
TGF_beta,SMAD2;SMAD3;TGFB1,tgf;smad;transforming growth factor,No direct-relation bonus,strict,0,1,1,Deubiquitination,Deubiquitination | Downregulation of TGF-beta receptor signaling | Loss of Function of SMAD2/3 in Cancer,Deubiquitination | Downregulation of TGF-beta receptor signaling | Loss of Function of SMAD2/3 in Cancer | Loss of Function of TGFBR1 in Cancer | Post-translational protein modification,1.0
TGF_beta,SMAD2;SMAD3;TGFB1,tgf;smad;transforming growth factor,No specificity weighting,strict,0,0,1,Deubiquitination,Deubiquitination | Developmental Biology | Disease,Deubiquitination | Developmental Biology | Disease | Diseases of signal transduction by growth factor receptors and second messengers | Downregulation of TGF-beta receptor signaling,0.85
TGF_beta,SMAD2;SMAD3;TGFB1,tgf;smad;transforming growth factor,Overlap count only,strict,0,0,1,Deubiquitination,Deubiquitination | Developmental Biology | Disease,Deubiquitination | Developmental Biology | Disease | Diseases of signal transduction by growth factor receptors and second messengers | Downregulation of TGF-beta receptor signaling,0.85
NOTCH_signaling,NOTCH1;DLL4;JAG1,notch;delta;jagged,GraphRAG-Gene full,strict,1,1,1,Activated NOTCH1 Transmits Signal to the Nucleus,Activated NOTCH1 Transmits Signal to the Nucleus | Constitutive Signaling by NOTCH1 HD Domain Mutants | Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants,Activated NOTCH1 Transmits Signal to the Nucleus | Constitutive Signaling by NOTCH1 HD Domain Mutants | Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants | Constitutive Signaling by NOTCH1 PEST Domain Mutants | Constitutive Signaling by NOTCH1 t(7;9)(NOTCH1:M1580_K2555) Translocation Mutant,1.0
NOTCH_signaling,NOTCH1;DLL4;JAG1,notch;delta;jagged,No direct-relation bonus,strict,1,1,1,Activated NOTCH1 Transmits Signal to the Nucleus,Activated NOTCH1 Transmits Signal to the Nucleus | Constitutive Signaling by NOTCH1 HD Domain Mutants | Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants,Activated NOTCH1 Transmits Signal to the Nucleus | Constitutive Signaling by NOTCH1 HD Domain Mutants | Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants | Constitutive Signaling by NOTCH1 PEST Domain Mutants | Constitutive Signaling by NOTCH1 t(7;9)(NOTCH1:M1580_K2555) Translocation Mutant,1.0
NOTCH_signaling,NOTCH1;DLL4;JAG1,notch;delta;jagged,No specificity weighting,strict,1,1,1,Activated NOTCH1 Transmits Signal to the Nucleus,Activated NOTCH1 Transmits Signal to the Nucleus | Constitutive Signaling by NOTCH1 HD Domain Mutants | Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants,Activated NOTCH1 Transmits Signal to the Nucleus | Constitutive Signaling by NOTCH1 HD Domain Mutants | Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants | Constitutive Signaling by NOTCH1 PEST Domain Mutants | Constitutive Signaling by NOTCH1 t(7;9)(NOTCH1:M1580_K2555) Translocation Mutant,1.0
NOTCH_signaling,NOTCH1;DLL4;JAG1,notch;delta;jagged,Overlap count only,strict,1,1,1,Activated NOTCH1 Transmits Signal to the Nucleus,Activated NOTCH1 Transmits Signal to the Nucleus | Constitutive Signaling by NOTCH1 HD Domain Mutants | Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants,Activated NOTCH1 Transmits Signal to the Nucleus | Constitutive Signaling by NOTCH1 HD Domain Mutants | Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants | Constitutive Signaling by NOTCH1 PEST Domain Mutants | Constitutive Signaling by NOTCH1 t(7;9)(NOTCH1:M1580_K2555) Translocation Mutant,1.0
TP53_pathway,TP53;MDM2;CDKN1A,tp53;p53;cell cycle checkpoints;dna damage,GraphRAG-Gene full,strict,0,1,1,Cell Cycle,Cell Cycle | Cell Cycle Checkpoints | Cellular Senescence,Cell Cycle | Cell Cycle Checkpoints | Cellular Senescence | G1/S DNA Damage Checkpoints | Intracellular signaling by second messengers,1.0
TP53_pathway,TP53;MDM2;CDKN1A,tp53;p53;cell cycle checkpoints;dna damage,No direct-relation bonus,strict,0,1,1,Cell Cycle,Cell Cycle | Cell Cycle Checkpoints | Cellular Senescence,Cell Cycle | Cell Cycle Checkpoints | Cellular Senescence | G1/S DNA Damage Checkpoints | Intracellular signaling by second messengers,1.0
TP53_pathway,TP53;MDM2;CDKN1A,tp53;p53;cell cycle checkpoints;dna damage,No specificity weighting,strict,0,1,1,Cell Cycle,Cell Cycle | Cell Cycle Checkpoints | Cellular responses to stimuli,Cell Cycle | Cell Cycle Checkpoints | Cellular responses to stimuli | Cellular responses to stress | Cellular Senescence,0.88
TP53_pathway,TP53;MDM2;CDKN1A,tp53;p53;cell cycle checkpoints;dna damage,Overlap count only,strict,0,1,1,Cell Cycle,Cell Cycle | Cell Cycle Checkpoints | Cellular responses to stimuli,Cell Cycle | Cell Cycle Checkpoints | Cellular responses to stimuli | Cellular responses to stress | Cellular Senescence,0.88
EGFR_signaling,EGFR;ERBB2;GRB2,egfr;erbb;signaling by receptor tyrosine kinases;grb2,GraphRAG-Gene full,strict,0,1,1,Axon guidance,Axon guidance | Constitutive Signaling by Aberrant PI3K in Cancer | GRB2 events in ERBB2 signaling,Axon guidance | Constitutive Signaling by Aberrant PI3K in Cancer | GRB2 events in ERBB2 signaling | Intracellular signaling by second messengers | MAPK family signaling cascades,1.0
EGFR_signaling,EGFR;ERBB2;GRB2,egfr;erbb;signaling by receptor tyrosine kinases;grb2,No direct-relation bonus,strict,0,1,1,Axon guidance,Axon guidance | Constitutive Signaling by Aberrant PI3K in Cancer | GRB2 events in ERBB2 signaling,Axon guidance | Constitutive Signaling by Aberrant PI3K in Cancer | GRB2 events in ERBB2 signaling | Intracellular signaling by second messengers | MAPK family signaling cascades,1.0
EGFR_signaling,EGFR;ERBB2;GRB2,egfr;erbb;signaling by receptor tyrosine kinases;grb2,No specificity weighting,strict,0,0,0,Axon guidance,Axon guidance | Constitutive Signaling by Aberrant PI3K in Cancer | Developmental Biology,Axon guidance | Constitutive Signaling by Aberrant PI3K in Cancer | Developmental Biology | Disease | Diseases of signal transduction by growth factor receptors and second messengers,0.85
EGFR_signaling,EGFR;ERBB2;GRB2,egfr;erbb;signaling by receptor tyrosine kinases;grb2,Overlap count only,strict,0,0,0,Axon guidance,Axon guidance | Constitutive Signaling by Aberrant PI3K in Cancer | Developmental Biology,Axon guidance | Constitutive Signaling by Aberrant PI3K in Cancer | Developmental Biology | Disease | Diseases of signal transduction by growth factor receptors and second messengers,0.85
Interferon_signaling,IFNA1;IFNB1;STAT1,interferon;jak-stat;stat1;cytokine signaling,GraphRAG-Gene full,strict,1,1,1,Cytokine Signaling in Immune system,Cytokine Signaling in Immune system | Immune System | Interferon alpha/beta signaling,Cytokine Signaling in Immune system | Immune System | Interferon alpha/beta signaling | Interferon Signaling | Regulation of IFNA/IFNB signaling,1.0
Interferon_signaling,IFNA1;IFNB1;STAT1,interferon;jak-stat;stat1;cytokine signaling,No direct-relation bonus,strict,1,1,1,Cytokine Signaling in Immune system,Cytokine Signaling in Immune system | Immune System | Interferon alpha/beta signaling,Cytokine Signaling in Immune system | Immune System | Interferon alpha/beta signaling | Interferon Signaling | Regulation of IFNA/IFNB signaling,1.0
Interferon_signaling,IFNA1;IFNB1;STAT1,interferon;jak-stat;stat1;cytokine signaling,No specificity weighting,strict,1,1,1,Cytokine Signaling in Immune system,Cytokine Signaling in Immune system | Disease | Immune System,Cytokine Signaling in Immune system | Disease | Immune System | Infectious disease | Interferon alpha/beta signaling,0.94
Interferon_signaling,IFNA1;IFNB1;STAT1,interferon;jak-stat;stat1;cytokine signaling,Overlap count only,strict,1,1,1,Cytokine Signaling in Immune system,Cytokine Signaling in Immune system | Disease | Immune System,Cytokine Signaling in Immune system | Disease | Immune System | Infectious disease | Interferon alpha/beta signaling,0.94
JAK_STAT_signaling,JAK1;JAK2;STAT3,jak-stat;stat3;cytokine signaling;interleukin,GraphRAG-Gene full,strict,1,1,1,Cytokine Signaling in Immune system,Cytokine Signaling in Immune system | Immune System | Inactivation of CSF3 (G-CSF) signaling,Cytokine Signaling in Immune system | Immune System | Inactivation of CSF3 (G-CSF) signaling | Interferon Signaling | Interleukin-12 family signaling,1.0
JAK_STAT_signaling,JAK1;JAK2;STAT3,jak-stat;stat3;cytokine signaling;interleukin,No direct-relation bonus,strict,1,1,1,Cytokine Signaling in Immune system,Cytokine Signaling in Immune system | Immune System | Inactivation of CSF3 (G-CSF) signaling,Cytokine Signaling in Immune system | Immune System | Inactivation of CSF3 (G-CSF) signaling | Interferon Signaling | Interleukin-12 family signaling,1.0
JAK_STAT_signaling,JAK1;JAK2;STAT3,jak-stat;stat3;cytokine signaling;interleukin,No specificity weighting,strict,1,1,1,Cytokine Signaling in Immune system,Cytokine Signaling in Immune system | Disease | Immune System,Cytokine Signaling in Immune system | Disease | Immune System | Inactivation of CSF3 (G-CSF) signaling | Interferon Signaling,0.97
JAK_STAT_signaling,JAK1;JAK2;STAT3,jak-stat;stat3;cytokine signaling;interleukin,Overlap count only,strict,1,1,1,Cytokine Signaling in Immune system,Cytokine Signaling in Immune system | Disease | Immune System,Cytokine Signaling in Immune system | Disease | Immune System | Inactivation of CSF3 (G-CSF) signaling | Interferon Signaling,0.97
NFkB_signaling,NFKB1;RELA;IKBKB,nf-kb;nfkb;ikk;tnf signaling;inflammation,GraphRAG-Gene full,strict,0,0,0,Activation of NF-kappaB in B cells,Activation of NF-kappaB in B cells | Adaptive Immune System | C-type lectin receptors (CLRs),Activation of NF-kappaB in B cells | Adaptive Immune System | C-type lectin receptors (CLRs) | CLEC7A (Dectin-1) signaling | Cytokine Signaling in Immune system,1.0
NFkB_signaling,NFKB1;RELA;IKBKB,nf-kb;nfkb;ikk;tnf signaling;inflammation,No direct-relation bonus,strict,0,0,0,Activation of NF-kappaB in B cells,Activation of NF-kappaB in B cells | Adaptive Immune System | C-type lectin receptors (CLRs),Activation of NF-kappaB in B cells | Adaptive Immune System | C-type lectin receptors (CLRs) | CLEC7A (Dectin-1) signaling | Cytokine Signaling in Immune system,1.0
NFkB_signaling,NFKB1;RELA;IKBKB,nf-kb;nfkb;ikk;tnf signaling;inflammation,No specificity weighting,strict,0,0,0,Activation of NF-kappaB in B cells,Activation of NF-kappaB in B cells | Adaptive Immune System | C-type lectin receptors (CLRs),Activation of NF-kappaB in B cells | Adaptive Immune System | C-type lectin receptors (CLRs) | CLEC7A (Dectin-1) signaling | Cytokine Signaling in Immune system,1.0
NFkB_signaling,NFKB1;RELA;IKBKB,nf-kb;nfkb;ikk;tnf signaling;inflammation,Overlap count only,strict,0,0,0,Activation of NF-kappaB in B cells,Activation of NF-kappaB in B cells | Adaptive Immune System | C-type lectin receptors (CLRs),Activation of NF-kappaB in B cells | Adaptive Immune System | C-type lectin receptors (CLRs) | CLEC7A (Dectin-1) signaling | Cytokine Signaling in Immune system,1.0
Toll_like_receptor_signaling,TLR4;MYD88;IRAK4,toll like receptor;tlr;myd88;innate immune system,GraphRAG-Gene full,strict,0,1,1,Immune System,Immune System | Innate Immune System | IRAK4 deficiency (TLR2/4),Immune System | Innate Immune System | IRAK4 deficiency (TLR2/4) | MyD88 dependent cascade initiated on endosome | MyD88:MAL(TIRAP) cascade initiated on plasma membrane,1.0
Toll_like_receptor_signaling,TLR4;MYD88;IRAK4,toll like receptor;tlr;myd88;innate immune system,No direct-relation bonus,strict,0,1,1,Immune System,Immune System | Innate Immune System | IRAK4 deficiency (TLR2/4),Immune System | Innate Immune System | IRAK4 deficiency (TLR2/4) | MyD88 dependent cascade initiated on endosome | MyD88:MAL(TIRAP) cascade initiated on plasma membrane,1.0
Toll_like_receptor_signaling,TLR4;MYD88;IRAK4,toll like receptor;tlr;myd88;innate immune system,No specificity weighting,strict,0,1,1,Disease,Disease | Diseases associated with the TLR signaling cascade | Diseases of Immune System,Disease | Diseases associated with the TLR signaling cascade | Diseases of Immune System | Immune System | Innate Immune System,0.85
Toll_like_receptor_signaling,TLR4;MYD88;IRAK4,toll like receptor;tlr;myd88;innate immune system,Overlap count only,strict,0,1,1,Disease,Disease | Diseases associated with the TLR signaling cascade | Diseases of Immune System,Disease | Diseases associated with the TLR signaling cascade | Diseases of Immune System | Immune System | Innate Immune System,0.85
Complement_cascade,C3;C5;CFB,complement;complement cascade;immune system,GraphRAG-Gene full,strict,0,1,1,Activation of C3 and C5,Activation of C3 and C5 | Complement cascade | Immune System,Activation of C3 and C5 | Complement cascade | Immune System | Innate Immune System | Regulation of Complement cascade,1.0
Complement_cascade,C3;C5;CFB,complement;complement cascade;immune system,No direct-relation bonus,strict,0,1,1,Activation of C3 and C5,Activation of C3 and C5 | Complement cascade | Immune System,Activation of C3 and C5 | Complement cascade | Immune System | Innate Immune System | Regulation of Complement cascade,1.0
Complement_cascade,C3;C5;CFB,complement;complement cascade;immune system,No specificity weighting,strict,0,1,1,Activation of C3 and C5,Activation of C3 and C5 | Complement cascade | Immune System,Activation of C3 and C5 | Complement cascade | Immune System | Innate Immune System | Regulation of Complement cascade,1.0
Complement_cascade,C3;C5;CFB,complement;complement cascade;immune system,Overlap count only,strict,0,1,1,Activation of C3 and C5,Activation of C3 and C5 | Complement cascade | Immune System,Activation of C3 and C5 | Complement cascade | Immune System | Innate Immune System | Regulation of Complement cascade,1.0
Coagulation_cascade,F2;F5;F10,hemostasis;coagulation;thrombin;platelet,GraphRAG-Gene full,strict,0,1,1,Formation of Fibrin Clot (Clotting Cascade),Formation of Fibrin Clot (Clotting Cascade) | Hemostasis | Post-translational protein modification,Formation of Fibrin Clot (Clotting Cascade) | Hemostasis | Post-translational protein modification | Common Pathway of Fibrin Clot Formation | Metabolism of proteins,0.95
Coagulation_cascade,F2;F5;F10,hemostasis;coagulation;thrombin;platelet,No direct-relation bonus,strict,0,1,1,Formation of Fibrin Clot (Clotting Cascade),Formation of Fibrin Clot (Clotting Cascade) | Hemostasis | Post-translational protein modification,Formation of Fibrin Clot (Clotting Cascade) | Hemostasis | Post-translational protein modification | Common Pathway of Fibrin Clot Formation | Metabolism of proteins,0.95
Coagulation_cascade,F2;F5;F10,hemostasis;coagulation;thrombin;platelet,No specificity weighting,strict,0,1,1,Common Pathway of Fibrin Clot Formation,Common Pathway of Fibrin Clot Formation | Formation of Fibrin Clot (Clotting Cascade) | Hemostasis,Common Pathway of Fibrin Clot Formation | Formation of Fibrin Clot (Clotting Cascade) | Hemostasis | Metabolism of proteins | Post-translational protein modification,0.95
