case_id,genes,expected_keywords,method,match_mode,top1_hit,top3_hit,top5_hit,top1_pathway,top3_pathways,top5_pathways,mean_top5_specificity
HRR_repair,BRCA2;PALB2;CHEK2,dna repair;dna double-strand break repair;homologous recombination;hrr;homology directed repair,Gene-only retrieval,synonym,1,1,1,DNA Double-Strand Break Repair,DNA Double-Strand Break Repair | DNA Repair | Cell Cycle,DNA Double-Strand Break Repair | DNA Repair | Cell Cycle | Defective HDR through Homologous Recombination Repair (HRR) due to PALB2 loss of BRCA1 binding function | Defective HDR through Homologous Recombination Repair (HRR) due to PALB2 loss of BRCA2/RAD51/RAD51C binding function,1.0
Apoptosis,CASP3;CASP8;BAX,apoptosis;programmed cell death;caspase,GraphRAG-Gene,synonym,1,1,1,Apoptosis,Apoptosis | Intrinsic Pathway for Apoptosis | Programmed Cell Death,Apoptosis | Intrinsic Pathway for Apoptosis | Programmed Cell Death | Regulated Necrosis | Signal Transduction,0.97
WNT_signaling,APC;CTNNB1;AXIN1,wnt;beta-catenin;tcf,Gene-only retrieval,synonym,1,1,1,Beta-catenin phosphorylation cascade,Beta-catenin phosphorylation cascade | APC truncation mutants have impaired AXIN binding | Apoptosis,Beta-catenin phosphorylation cascade | APC truncation mutants have impaired AXIN binding | Apoptosis | Apoptotic cleavage of cellular proteins | Apoptotic execution phase,1.0
WNT_signaling,APC;CTNNB1;AXIN1,wnt;beta-catenin;tcf,Pathway-only retrieval,synonym,1,1,1,Beta-catenin phosphorylation cascade,Beta-catenin phosphorylation cascade | CTNNB1 S33 mutants aren't phosphorylated | CTNNB1 S37 mutants aren't phosphorylated,Beta-catenin phosphorylation cascade | CTNNB1 S33 mutants aren't phosphorylated | CTNNB1 S37 mutants aren't phosphorylated | CTNNB1 S45 mutants aren't phosphorylated | CTNNB1 T41 mutants aren't phosphorylated,1.0
WNT_signaling,APC;CTNNB1;AXIN1,wnt;beta-catenin;tcf,GraphRAG-Gene,synonym,1,1,1,Beta-catenin phosphorylation cascade,Beta-catenin phosphorylation cascade | CTNNB1 S33 mutants aren't phosphorylated | CTNNB1 S37 mutants aren't phosphorylated,Beta-catenin phosphorylation cascade | CTNNB1 S33 mutants aren't phosphorylated | CTNNB1 S37 mutants aren't phosphorylated | CTNNB1 S45 mutants aren't phosphorylated | CTNNB1 T41 mutants aren't phosphorylated,1.0
MAPK_signaling,KRAS;BRAF;MAPK1,mapk;raf;erk;ras,Gene-only retrieval,synonym,0,0,1,Activation of NMDA receptors and postsynaptic events,Activation of NMDA receptors and postsynaptic events | Axon guidance | Activated NTRK2 signals through FRS2 and FRS3,Activation of NMDA receptors and postsynaptic events | Axon guidance | Activated NTRK2 signals through FRS2 and FRS3 | Activated NTRK2 signals through RAS | Activated NTRK3 signals through RAS,1.0
MAPK_signaling,KRAS;BRAF;MAPK1,mapk;raf;erk;ras,Pathway-only retrieval,synonym,0,1,1,Disease,Disease | Diseases of signal transduction by growth factor receptors and second messengers | MAP2K and MAPK activation,Disease | Diseases of signal transduction by growth factor receptors and second messengers | MAP2K and MAPK activation | MAPK family signaling cascades | MAPK1/MAPK3 signaling,0.88
MAPK_signaling,KRAS;BRAF;MAPK1,mapk;raf;erk;ras,GraphRAG-Gene,synonym,1,1,1,MAP2K and MAPK activation,MAP2K and MAPK activation | MAPK family signaling cascades | MAPK1/MAPK3 signaling,MAP2K and MAPK activation | MAPK family signaling cascades | MAPK1/MAPK3 signaling | Negative regulation of MAPK pathway | Oncogenic MAPK signaling,1.0
PI3K_AKT,PIK3CA;AKT1;PTEN,pi3k;akt;pten;phosphatidylinositol,Gene-only retrieval,synonym,0,0,1,Adaptive Immune System,Adaptive Immune System | Immune System | CD28 co-stimulation,Adaptive Immune System | Immune System | CD28 co-stimulation | CD28 dependent PI3K/Akt signaling | Activated NTRK2 signals through PI3K,1.0
PI3K_AKT,PIK3CA;AKT1;PTEN,pi3k;akt;pten;phosphatidylinositol,Pathway-only retrieval,synonym,0,0,0,Adaptive Immune System,Adaptive Immune System | Disease | Diseases of signal transduction by growth factor receptors and second messengers,Adaptive Immune System | Disease | Diseases of signal transduction by growth factor receptors and second messengers | Immune System | Intracellular signaling by second messengers,0.88
PI3K_AKT,PIK3CA;AKT1;PTEN,pi3k;akt;pten;phosphatidylinositol,GraphRAG-Gene,synonym,0,0,1,Adaptive Immune System,Adaptive Immune System | Immune System | Intracellular signaling by second messengers,Adaptive Immune System | Immune System | Intracellular signaling by second messengers | Negative regulation of the PI3K/AKT network | PI3K/AKT Signaling in Cancer,1.0
TGF_beta,SMAD2;SMAD3;TGFB1,tgf;smad;transforming growth factor,Gene-only retrieval,synonym,0,0,1,Deubiquitination,Deubiquitination | Developmental Biology | Disease,Deubiquitination | Developmental Biology | Disease | Diseases of signal transduction by growth factor receptors and second messengers | Downregulation of TGF-beta receptor signaling,0.85
TGF_beta,SMAD2;SMAD3;TGFB1,tgf;smad;transforming growth factor,Pathway-only retrieval,synonym,0,0,1,Deubiquitination,Deubiquitination | Developmental Biology | Disease,Deubiquitination | Developmental Biology | Disease | Diseases of signal transduction by growth factor receptors and second messengers | Downregulation of TGF-beta receptor signaling,0.85
TGF_beta,SMAD2;SMAD3;TGFB1,tgf;smad;transforming growth factor,GraphRAG-Gene,synonym,0,1,1,Deubiquitination,Deubiquitination | Downregulation of TGF-beta receptor signaling | Loss of Function of SMAD2/3 in Cancer,Deubiquitination | Downregulation of TGF-beta receptor signaling | Loss of Function of SMAD2/3 in Cancer | Loss of Function of TGFBR1 in Cancer | Post-translational protein modification,1.0
NOTCH_signaling,NOTCH1;DLL4;JAG1,notch;delta;jagged,Gene-only retrieval,synonym,1,1,1,Activated NOTCH1 Transmits Signal to the Nucleus,Activated NOTCH1 Transmits Signal to the Nucleus | Constitutive Signaling by NOTCH1 HD Domain Mutants | Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants,Activated NOTCH1 Transmits Signal to the Nucleus | Constitutive Signaling by NOTCH1 HD Domain Mutants | Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants | Constitutive Signaling by NOTCH1 PEST Domain Mutants | Constitutive Signaling by NOTCH1 t(7;9)(NOTCH1:M1580_K2555) Translocation Mutant,1.0
NOTCH_signaling,NOTCH1;DLL4;JAG1,notch;delta;jagged,Pathway-only retrieval,synonym,1,1,1,Activated NOTCH1 Transmits Signal to the Nucleus,Activated NOTCH1 Transmits Signal to the Nucleus | Constitutive Signaling by NOTCH1 HD Domain Mutants | Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants,Activated NOTCH1 Transmits Signal to the Nucleus | Constitutive Signaling by NOTCH1 HD Domain Mutants | Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants | Constitutive Signaling by NOTCH1 PEST Domain Mutants | Constitutive Signaling by NOTCH1 t(7;9)(NOTCH1:M1580_K2555) Translocation Mutant,1.0
NOTCH_signaling,NOTCH1;DLL4;JAG1,notch;delta;jagged,GraphRAG-Gene,synonym,1,1,1,Activated NOTCH1 Transmits Signal to the Nucleus,Activated NOTCH1 Transmits Signal to the Nucleus | Constitutive Signaling by NOTCH1 HD Domain Mutants | Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants,Activated NOTCH1 Transmits Signal to the Nucleus | Constitutive Signaling by NOTCH1 HD Domain Mutants | Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants | Constitutive Signaling by NOTCH1 PEST Domain Mutants | Constitutive Signaling by NOTCH1 t(7;9)(NOTCH1:M1580_K2555) Translocation Mutant,1.0
TP53_pathway,TP53;MDM2;CDKN1A,tp53;p53;cell cycle checkpoints;dna damage,Gene-only retrieval,synonym,0,1,1,Cell Cycle,Cell Cycle | Cell Cycle Checkpoints | AKT phosphorylates targets in the cytosol,"Cell Cycle | Cell Cycle Checkpoints | AKT phosphorylates targets in the cytosol | Cell Cycle, Mitotic | Cellular responses to stimuli",0.94
TP53_pathway,TP53;MDM2;CDKN1A,tp53;p53;cell cycle checkpoints;dna damage,Pathway-only retrieval,synonym,0,1,1,Cell Cycle,Cell Cycle | Cell Cycle Checkpoints | Cellular responses to stimuli,Cell Cycle | Cell Cycle Checkpoints | Cellular responses to stimuli | Cellular responses to stress | Cellular Senescence,0.88
TP53_pathway,TP53;MDM2;CDKN1A,tp53;p53;cell cycle checkpoints;dna damage,GraphRAG-Gene,synonym,0,1,1,Cell Cycle,Cell Cycle | Cell Cycle Checkpoints | Cellular Senescence,Cell Cycle | Cell Cycle Checkpoints | Cellular Senescence | G1/S DNA Damage Checkpoints | Intracellular signaling by second messengers,1.0
EGFR_signaling,EGFR;ERBB2;GRB2,egfr;erbb;signaling by receptor tyrosine kinases;grb2,Gene-only retrieval,synonym,0,0,0,Axon guidance,Axon guidance | Constitutive Signaling by Aberrant PI3K in Cancer | Developmental Biology,Axon guidance | Constitutive Signaling by Aberrant PI3K in Cancer | Developmental Biology | Disease | Diseases of signal transduction by growth factor receptors and second messengers,0.85
EGFR_signaling,EGFR;ERBB2;GRB2,egfr;erbb;signaling by receptor tyrosine kinases;grb2,Pathway-only retrieval,synonym,0,0,0,Axon guidance,Axon guidance | Constitutive Signaling by Aberrant PI3K in Cancer | Developmental Biology,Axon guidance | Constitutive Signaling by Aberrant PI3K in Cancer | Developmental Biology | Disease | Diseases of signal transduction by growth factor receptors and second messengers,0.85
EGFR_signaling,EGFR;ERBB2;GRB2,egfr;erbb;signaling by receptor tyrosine kinases;grb2,GraphRAG-Gene,synonym,0,1,1,Axon guidance,Axon guidance | Constitutive Signaling by Aberrant PI3K in Cancer | GRB2 events in ERBB2 signaling,Axon guidance | Constitutive Signaling by Aberrant PI3K in Cancer | GRB2 events in ERBB2 signaling | Intracellular signaling by second messengers | MAPK family signaling cascades,1.0
Interferon_signaling,IFNA1;IFNB1;STAT1,interferon;jak-stat;stat1;cytokine signaling,Gene-only retrieval,synonym,1,1,1,Cytokine Signaling in Immune system,Cytokine Signaling in Immune system | Disease | Immune System,Cytokine Signaling in Immune system | Disease | Immune System | DDX58/IFIH1-mediated induction of interferon-alpha/beta | Evasion by RSV of host interferon responses,0.97
Interferon_signaling,IFNA1;IFNB1;STAT1,interferon;jak-stat;stat1;cytokine signaling,Pathway-only retrieval,synonym,1,1,1,Cytokine Signaling in Immune system,Cytokine Signaling in Immune system | Disease | Immune System,Cytokine Signaling in Immune system | Disease | Immune System | Infectious disease | Interferon alpha/beta signaling,0.94
Interferon_signaling,IFNA1;IFNB1;STAT1,interferon;jak-stat;stat1;cytokine signaling,GraphRAG-Gene,synonym,1,1,1,Cytokine Signaling in Immune system,Cytokine Signaling in Immune system | Immune System | Interferon alpha/beta signaling,Cytokine Signaling in Immune system | Immune System | Interferon alpha/beta signaling | Interferon Signaling | Regulation of IFNA/IFNB signaling,1.0
JAK_STAT_signaling,JAK1;JAK2;STAT3,jak-stat;stat3;cytokine signaling;interleukin,Gene-only retrieval,synonym,1,1,1,Cytokine Signaling in Immune system,Cytokine Signaling in Immune system | Immune System | Antiviral mechanism by IFN-stimulated genes,Cytokine Signaling in Immune system | Immune System | Antiviral mechanism by IFN-stimulated genes | Disease | Apoptosis,0.97
JAK_STAT_signaling,JAK1;JAK2;STAT3,jak-stat;stat3;cytokine signaling;interleukin,Pathway-only retrieval,synonym,1,1,1,Cytokine Signaling in Immune system,Cytokine Signaling in Immune system | Disease | Immune System,Cytokine Signaling in Immune system | Disease | Immune System | Inactivation of CSF3 (G-CSF) signaling | Interferon Signaling,0.97
JAK_STAT_signaling,JAK1;JAK2;STAT3,jak-stat;stat3;cytokine signaling;interleukin,GraphRAG-Gene,synonym,1,1,1,Cytokine Signaling in Immune system,Cytokine Signaling in Immune system | Immune System | Inactivation of CSF3 (G-CSF) signaling,Cytokine Signaling in Immune system | Immune System | Inactivation of CSF3 (G-CSF) signaling | Interferon Signaling | Interleukin-12 family signaling,1.0
NFkB_signaling,NFKB1;RELA;IKBKB,nf-kb;nfkb;ikk;tnf signaling;inflammation,Gene-only retrieval,synonym,1,1,1,Activation of NF-kappaB in B cells,Activation of NF-kappaB in B cells | Adaptive Immune System | C-type lectin receptors (CLRs),Activation of NF-kappaB in B cells | Adaptive Immune System | C-type lectin receptors (CLRs) | CLEC7A (Dectin-1) signaling | Immune System,1.0
NFkB_signaling,NFKB1;RELA;IKBKB,nf-kb;nfkb;ikk;tnf signaling;inflammation,Pathway-only retrieval,synonym,1,1,1,Activation of NF-kappaB in B cells,Activation of NF-kappaB in B cells | Adaptive Immune System | C-type lectin receptors (CLRs),Activation of NF-kappaB in B cells | Adaptive Immune System | C-type lectin receptors (CLRs) | CLEC7A (Dectin-1) signaling | Cytokine Signaling in Immune system,1.0
NFkB_signaling,NFKB1;RELA;IKBKB,nf-kb;nfkb;ikk;tnf signaling;inflammation,GraphRAG-Gene,synonym,1,1,1,Activation of NF-kappaB in B cells,Activation of NF-kappaB in B cells | Adaptive Immune System | C-type lectin receptors (CLRs),Activation of NF-kappaB in B cells | Adaptive Immune System | C-type lectin receptors (CLRs) | CLEC7A (Dectin-1) signaling | Cytokine Signaling in Immune system,1.0
Toll_like_receptor_signaling,TLR4;MYD88;IRAK4,toll like receptor;tlr;myd88;innate immune system,Gene-only retrieval,synonym,0,0,0,Disease,Disease | Immune System | Adaptive Immune System,Disease | Immune System | Adaptive Immune System | Antigen processing-Cross presentation | Class I MHC mediated antigen processing & presentation,0.97
Toll_like_receptor_signaling,TLR4;MYD88;IRAK4,toll like receptor;tlr;myd88;innate immune system,Pathway-only retrieval,synonym,0,1,1,Disease,Disease | Diseases associated with the TLR signaling cascade | Diseases of Immune System,Disease | Diseases associated with the TLR signaling cascade | Diseases of Immune System | Immune System | Innate Immune System,0.85
Toll_like_receptor_signaling,TLR4;MYD88;IRAK4,toll like receptor;tlr;myd88;innate immune system,GraphRAG-Gene,synonym,0,1,1,Immune System,Immune System | Innate Immune System | IRAK4 deficiency (TLR2/4),Immune System | Innate Immune System | IRAK4 deficiency (TLR2/4) | MyD88 dependent cascade initiated on endosome | MyD88:MAL(TIRAP) cascade initiated on plasma membrane,1.0
Complement_cascade,C3;C5;CFB,complement;complement cascade;immune system,Gene-only retrieval,synonym,0,1,1,Activation of C3 and C5,Activation of C3 and C5 | Complement cascade | Immune System,Activation of C3 and C5 | Complement cascade | Immune System | Alternative complement activation | Class A/1 (Rhodopsin-like receptors),1.0
Complement_cascade,C3;C5;CFB,complement;complement cascade;immune system,Pathway-only retrieval,synonym,0,1,1,Activation of C3 and C5,Activation of C3 and C5 | Complement cascade | Immune System,Activation of C3 and C5 | Complement cascade | Immune System | Innate Immune System | Regulation of Complement cascade,1.0
Complement_cascade,C3;C5;CFB,complement;complement cascade;immune system,GraphRAG-Gene,synonym,0,1,1,Activation of C3 and C5,Activation of C3 and C5 | Complement cascade | Immune System,Activation of C3 and C5 | Complement cascade | Immune System | Innate Immune System | Regulation of Complement cascade,1.0
Coagulation_cascade,F2;F5;F10,hemostasis;coagulation;thrombin;platelet,Gene-only retrieval,synonym,0,1,1,Common Pathway of Fibrin Clot Formation,Common Pathway of Fibrin Clot Formation | Hemostasis | Defective factor VIII causes hemophilia A,Common Pathway of Fibrin Clot Formation | Hemostasis | Defective factor VIII causes hemophilia A | Defects of contact activation system (CAS) and kallikrein/kinin system (KKS) | Disease,0.95
Coagulation_cascade,F2;F5;F10,hemostasis;coagulation;thrombin;platelet,Pathway-only retrieval,synonym,0,1,1,Common Pathway of Fibrin Clot Formation,Common Pathway of Fibrin Clot Formation | Formation of Fibrin Clot (Clotting Cascade) | Hemostasis,Common Pathway of Fibrin Clot Formation | Formation of Fibrin Clot (Clotting Cascade) | Hemostasis | Metabolism of proteins | Post-translational protein modification,0.95
Coagulation_cascade,F2;F5;F10,hemostasis;coagulation;thrombin;platelet,GraphRAG-Gene,synonym,0,1,1,Formation of Fibrin Clot (Clotting Cascade),Formation of Fibrin Clot (Clotting Cascade) | Hemostasis | Post-translational protein modification,Formation of Fibrin Clot (Clotting Cascade) | Hemostasis | Post-translational protein modification | Common Pathway of Fibrin Clot Formation | Metabolism of proteins,0.95
Cholesterol_metabolism,LDLR;APOB;PCSK9,cholesterol;lipoprotein;metabolism of lipids;ldl,Gene-only retrieval,synonym,0,0,1,Cargo recognition for clathrin-mediated endocytosis,Cargo recognition for clathrin-mediated endocytosis | Chylomicron clearance | Clathrin-mediated endocytosis,Cargo recognition for clathrin-mediated endocytosis | Chylomicron clearance | Clathrin-mediated endocytosis | LDL clearance | Metabolism,0.97
Cholesterol_metabolism,LDLR;APOB;PCSK9,cholesterol;lipoprotein;metabolism of lipids;ldl,Pathway-only retrieval,synonym,1,1,1,LDL clearance,"LDL clearance | Plasma lipoprotein assembly, remodeling, and clearance | Plasma lipoprotein clearance","LDL clearance | Plasma lipoprotein assembly, remodeling, and clearance | Plasma lipoprotein clearance | Transport of small molecules | Cargo recognition for clathrin-mediated endocytosis",1.0
Cholesterol_metabolism,LDLR;APOB;PCSK9,cholesterol;lipoprotein;metabolism of lipids;ldl,GraphRAG-Gene,synonym,1,1,1,LDL clearance,"LDL clearance | Plasma lipoprotein assembly, remodeling, and clearance | Plasma lipoprotein clearance","LDL clearance | Plasma lipoprotein assembly, remodeling, and clearance | Plasma lipoprotein clearance | Transport of small molecules | Cargo recognition for clathrin-mediated endocytosis",1.0
Fatty_acid_metabolism,ACACA;FASN;CPT1A,fatty acid;lipid metabolism;beta-oxidation;metabolism of lipids,Gene-only retrieval,synonym,1,1,1,Fatty acid metabolism,Fatty acid metabolism | Metabolism | Activation of gene expression by SREBF (SREBP),Fatty acid metabolism | Metabolism | Activation of gene expression by SREBF (SREBP) | Carnitine metabolism | ChREBP activates metabolic gene expression,0.85
Fatty_acid_metabolism,ACACA;FASN;CPT1A,fatty acid;lipid metabolism;beta-oxidation;metabolism of lipids,Pathway-only retrieval,synonym,1,1,1,Fatty acid metabolism,Fatty acid metabolism | Metabolism | Metabolism of lipids,Fatty acid metabolism | Metabolism | Metabolism of lipids | Activation of gene expression by SREBF (SREBP) | Carnitine metabolism,0.85
Fatty_acid_metabolism,ACACA;FASN;CPT1A,fatty acid;lipid metabolism;beta-oxidation;metabolism of lipids,GraphRAG-Gene,synonym,1,1,1,Fatty acid metabolism,Fatty acid metabolism | Metabolism | Metabolism of lipids,Fatty acid metabolism | Metabolism | Metabolism of lipids | Fatty acyl-CoA biosynthesis | Regulation of cholesterol biosynthesis by SREBP (SREBF),0.91
Glycolysis,HK1;PFKM;PKM,glycolysis;glucose metabolism;metabolism of carbohydrates,Gene-only retrieval,synonym,1,1,1,Glucose metabolism,Glucose metabolism | Glycolysis | Metabolism,Glucose metabolism | Glycolysis | Metabolism | Metabolism of carbohydrates | Aerobic respiration and respiratory electron transport,0.91
Glycolysis,HK1;PFKM;PKM,glycolysis;glucose metabolism;metabolism of carbohydrates,Pathway-only retrieval,synonym,1,1,1,Glucose metabolism,Glucose metabolism | Glycolysis | Metabolism,Glucose metabolism | Glycolysis | Metabolism | Metabolism of carbohydrates | Aerobic respiration and respiratory electron transport,0.91
Glycolysis,HK1;PFKM;PKM,glycolysis;glucose metabolism;metabolism of carbohydrates,GraphRAG-Gene,synonym,1,1,1,Glycolysis,Glycolysis | Glucose metabolism | Metabolism,Glycolysis | Glucose metabolism | Metabolism | Metabolism of carbohydrates | Aerobic respiration and respiratory electron transport,0.91
Urea_cycle,CPS1;OTC;ASS1,urea cycle;amino acid metabolism;nitrogen metabolism,Gene-only retrieval,synonym,0,1,1,Metabolism,Metabolism | Metabolism of amino acids and derivatives | Urea cycle,Metabolism | Metabolism of amino acids and derivatives | Urea cycle | Mitochondrial protein import | Protein localization,0.94
Urea_cycle,CPS1;OTC;ASS1,urea cycle;amino acid metabolism;nitrogen metabolism,Pathway-only retrieval,synonym,0,1,1,Metabolism,Metabolism | Metabolism of amino acids and derivatives | Urea cycle,Metabolism | Metabolism of amino acids and derivatives | Urea cycle | Mitochondrial protein import | Protein localization,0.94
Urea_cycle,CPS1;OTC;ASS1,urea cycle;amino acid metabolism;nitrogen metabolism,GraphRAG-Gene,synonym,1,1,1,Urea cycle,Urea cycle | Metabolism | Metabolism of amino acids and derivatives,Urea cycle | Metabolism | Metabolism of amino acids and derivatives | Mitochondrial protein import | Protein localization,0.94
Autophagy,ATG5;BECN1;MAP1LC3B,autophagy;macroautophagy;cellular responses to stress,Gene-only retrieval,synonym,1,1,1,Autophagy,Autophagy | Disease | Early SARS-CoV-2 Infection Events,Autophagy | Disease | Early SARS-CoV-2 Infection Events | Immune System | Macroautophagy,0.97
Autophagy,ATG5;BECN1;MAP1LC3B,autophagy;macroautophagy;cellular responses to stress,Pathway-only retrieval,synonym,1,1,1,Autophagy,Autophagy | Macroautophagy | Disease,Autophagy | Macroautophagy | Disease | Early SARS-CoV-2 Infection Events | Immune System,0.97
Autophagy,ATG5;BECN1;MAP1LC3B,autophagy;macroautophagy;cellular responses to stress,GraphRAG-Gene,synonym,1,1,1,Autophagy,Autophagy | Macroautophagy | Early SARS-CoV-2 Infection Events,Autophagy | Macroautophagy | Early SARS-CoV-2 Infection Events | Immune System | Mitophagy,1.0
ER_stress_UPR,ERN1;ATF6;EIF2AK3,unfolded protein response;er stress;perk;ire1;atf6,Gene-only retrieval,synonym,0,1,1,Cellular responses to stimuli,Cellular responses to stimuli | Cellular responses to stress | PERK regulates gene expression,Cellular responses to stimuli | Cellular responses to stress | PERK regulates gene expression | Unfolded Protein Response (UPR) | ALK mutants bind TKIs,0.85
ER_stress_UPR,ERN1;ATF6;EIF2AK3,unfolded protein response;er stress;perk;ire1;atf6,Pathway-only retrieval,synonym,0,1,1,Cellular responses to stimuli,Cellular responses to stimuli | Cellular responses to stress | Unfolded Protein Response (UPR),Cellular responses to stimuli | Cellular responses to stress | Unfolded Protein Response (UPR) | PERK regulates gene expression | ALK mutants bind TKIs,0.85
ER_stress_UPR,ERN1;ATF6;EIF2AK3,unfolded protein response;er stress;perk;ire1;atf6,GraphRAG-Gene,synonym,1,1,1,Unfolded Protein Response (UPR),Unfolded Protein Response (UPR) | Cellular responses to stimuli | Cellular responses to stress,Unfolded Protein Response (UPR) | Cellular responses to stimuli | Cellular responses to stress | PERK regulates gene expression | ALK mutants bind TKIs,0.85
mTOR_signaling,MTOR;RPTOR;RICTOR,mtor;mtorc1;mtorc2;pi3k;akt,Gene-only retrieval,synonym,0,1,1,Adaptive Immune System,Adaptive Immune System | Amino acids regulate mTORC1 | Autophagy,Adaptive Immune System | Amino acids regulate mTORC1 | Autophagy | CD28 co-stimulation | CD28 dependent PI3K/Akt signaling,1.0
